"","Gene","log2FoldChange","pvalue","padj","geneexpression"
"2","TBX5",-2.129,5.655e-08,0.0004191,"DOWN"
"4","IFITM1",-1.687,3.735e-06,0.006809,"DOWN"
"8","LAMA2",-1.425,2.39e-06,0.006809,"DOWN"
"9","CAV2",-1.052,3.213e-06,0.006809,"DOWN"
"10","TNN",-1.658,8.973e-06,0.01472,"DOWN"
"12","COL13A1",-1.647,1.394e-05,0.01592,"DOWN"
"13","IFITM3",-1.61,1.202e-05,0.01592,"DOWN"
"14","SHISA3",-1.477,1.31e-05,0.01592,"DOWN"
"17","ARHGAP29",-1.526,3.675e-05,0.03547,"DOWN"
"18","KIAA1755",-1.562,3.972e-05,0.0362,"DOWN"
"19","LAMC3",-1.563,4.29e-05,0.03704,"DOWN"
"20","ITM2A",-1.398,4.972e-05,0.04078,"DOWN"
"23","CEBPD",-1.202,7.859e-05,0.05606,"DOWN"
"24","DMBX1",-1.425,9.529e-05,0.06486,"DOWN"
"25","PAPLN",-1.253,9.883e-05,0.06486,"DOWN"
"26","ADM",-1.357,0.0001089,0.06872,"DOWN"
"27","COL2A1",-1.187,0.0001424,0.07794,"DOWN"
"28","HS3ST3A1",-1.004,0.0001388,0.07794,"DOWN"
"29","DYSF",-1.03,0.0001425,0.07794,"DOWN"
"31","CDC42EP5",-1.355,0.0001581,0.08146,"DOWN"
"33","ZNF391",-1.024,0.0001913,0.09512,"DOWN"
"40","APLNR",-1.365,0.000378,0.1477,"DOWN"
"41","CILP",-1.11,0.0003582,0.1477,"DOWN"
"42","TEC",-1.373,0.0003701,0.1477,"DOWN"
"47","IGF2-AS1",-1.235,0.0005835,0.1665,"DOWN"
"48","RPLP0P2",-1.096,0.0005689,0.1665,"DOWN"
"54","BHLHE40",-1.127,0.0004785,0.1665,"DOWN"
"55","PLSCR4",-1.317,0.0004978,0.1665,"DOWN"
"58","TIMP1",-1.15,0.0005267,0.1665,"DOWN"
"59","CAV1",-1.115,0.0006722,0.1869,"DOWN"
"62","HSPG2",-1.218,0.0007963,0.1947,"DOWN"
"63","CYR61",-1.102,0.0008071,0.1947,"DOWN"
"64","MYOF",-1.194,0.0007397,0.1947,"DOWN"
"65","COL4A1",-1.252,0.0007866,0.1947,"DOWN"
"67","ICAM1",-1.144,0.0007795,0.1947,"DOWN"
"71","ACSF2",-1.142,0.0009448,0.2183,"DOWN"
"73","ITPR1",-1.118,0.00102,0.226,"DOWN"
"76","POU2F3",-1.273,0.001114,0.2399,"DOWN"
"77","COL5A2",-1.262,0.001155,0.2399,"DOWN"
"81","SSC5D",-1.126,0.001229,0.2453,"DOWN"
"83","PLAT",-1.103,0.001226,0.2453,"DOWN"
"87","ADAMTS19",-1.199,0.001348,0.2543,"DOWN"
"89","LEFTY2",-1.225,0.001414,0.2578,"DOWN"
"91","UAP1L1",-1.113,0.001454,0.2622,"DOWN"
"92","RAB27A",-1.073,0.001516,0.2702,"DOWN"
"96","OSMR",-1.226,0.001749,0.2988,"DOWN"
